,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
6,Apple iPhone SE 3rd Generation 64GB Midnight,Rp21.999.000,7.499.000,23 Terjual,digimap
7,Apple iPhone 14 Pro Max 128GB Silver,Rp24.999.000,19.699.000,9 Terjual,digimap
8,Apple iPhone 14 Pro Max 256GB Silver,Rp28.999.000,21.999.000,20 Terjual,digimap
9,Apple iPhone 14 Pro Max 512GB Space Black,Rp18.699.000,26.499.000,8 Terjual,digimap
10,Apple iPhone 13 Pro 128GB Alpine Green,Rp16.499.000,16.999.000,58 Terjual,digimap
11,Apple iPhone 12 128GB Green,Rp17.699.000,11.499.000,308 Terjual,digimap
12,Apple iPhone 13 256GB Green,Rp21.199.000,14.299.000,172 Terjual,digimap
13,Apple iPhone 13 512GB Green,Rp969.000,15.999.000,10 Terjual,digimap
14,Apple iPhone 14 Silicone Case Chalk Pink,Rp999.000,999.000,41 Terjual,digimap
15,Apple iPhone 12 mini Clear Case,Rp1.269.000,599.000,2 Terjual,digimap
16,Apple iPhone 14 Plus Clear Case,Rp999.000,999.000,25 Terjual,digimap
17,Apple iPhone 14 Clear Case,0,799.000,3 Terjual,digimap
18,Apple iPhone 14 Plus Silicone Case Midnight,0,999.000,25 Terjual,digimap
19,Apple iPhone 14 Silicone Case Midnight,0,999.000,5 Terjual,digimap
20,Apple iPhone 12 mini Leather Case Saddle Brown,0,799.000,0 terjual,digimap
21,Apple iPhone 14 Pro Max Silicone Case Storm Blue,0,999.000,1 Terjual,digimap
22,Apple iPhone 14 Pro Max Clear Case,0,799.000,0 terjual,digimap
23,Apple iPhone 14 Pro Max Leather Case Umber,0,1.299.000,2 Terjual,digimap
