,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,iPhon 11 128GB,0,8.765.000,2 Terjual,okeshop_smg
1,iPhon 13 128GB,0,11.999.000,50 Terjual,okeshop_smg
2,iPhon 11 64GB,0,7.279.000,21 Terjual,okeshop_smg
3,iPhon 12 64GB,0,10.669.000,3 Terjual,okeshop_smg
4,iPhon 14 Plus 128GB,0,15.899.000,5 Terjual,okeshop_smg
5,iPhon 14 Promax 256GB - Garansi Resmi,0,22.199.000,0 terjual,okeshop_smg
6,iPhon 12 128GB,0,11.599.000,0 terjual,okeshop_smg
7,iPhon 14 256GB,0,16.699.000,0 terjual,okeshop_smg
8,iPhone 20W USB - C Power Adapter,0,449.000,0 terjual,okeshop_smg
